#ID field umap_x umap_y z z_type z_16 z_84 ssfr_50 ssfr_16 ssfr_84 SFR_100_50 SFR_100_16 SFR_100_84 mwa_50 mwa_16 mwa_84 mstar_50 mstar_16 mstar_84 AV_50 AV_16 AV_84
20550 gds -0.224 -1.250 3.0000 phot 1.8760 3.0180 -8.670 -8.845 -8.464 -0.067 -0.172 0.044 0.353 0.218 0.540 8.606 8.515 8.687 0.161 0.092 0.247
21138 gds -3.259 -4.664 3.8100 phot 3.4850 4.0410 -8.964 -10.962 -8.670 -0.232 -2.324 -0.053 0.357 0.199 0.705 8.685 8.599 8.763 0.218 0.104 0.342
21230 gds -6.543 -2.985 4.7200 phot 4.5940 4.7840 -7.933 -7.966 -7.920 0.446 0.147 0.661 0.035 0.020 0.056 8.436 8.352 8.512 0.266 0.183 0.342
21378 gds -6.316 -3.179 4.7500 phot 4.4140 4.7910 -7.944 -7.965 -7.930 -0.419 -0.783 -0.132 0.019 0.009 0.041 7.578 7.396 7.755 0.130 0.076 0.191
21637 gds -2.878 -4.509 3.9200 phot 3.6340 4.0530 -8.471 -8.633 -8.287 0.342 0.220 0.478 0.197 0.128 0.279 8.825 8.767 8.875 0.159 0.102 0.252
21838 gds -6.192 -3.202 4.7800 phot 4.6030 4.8020 -7.940 -7.953 -7.929 -0.163 -0.392 0.073 0.021 0.013 0.037 7.841 7.716 7.960 0.198 0.138 0.300
22279 gds -6.050 -2.969 4.3500 phot 4.1020 4.3580 -7.964 -7.975 -7.944 -0.786 -0.998 -0.526 0.008 0.005 0.017 7.237 7.126 7.401 0.105 0.070 0.147
22603 gds -0.782 -0.926 0.4400 phot 0.4180 3.4270 -9.612 -9.868 -9.419 -2.547 -2.674 -2.466 3.408 2.082 4.690 7.058 6.918 7.193 1.137 0.813 1.411
23085 gds -2.871 0.053 2.6500 phot 2.1300 2.9460 -9.148 -12.229 -8.939 -0.557 -3.522 -0.424 0.803 0.440 1.207 8.587 8.519 8.639 0.198 0.100 0.335
23167 gds -0.405 -0.921 1.9200 phot 1.8860 3.1310 -9.241 -9.347 -8.935 -0.893 -0.958 -0.715 1.421 0.645 1.709 8.356 8.244 8.417 0.109 0.044 0.203
23285 gds -2.806 -4.481 3.7300 phot 3.3490 3.8060 -8.241 -8.492 -8.002 0.296 0.129 0.464 0.118 0.063 0.219 8.579 8.469 8.664 0.263 0.161 0.402
23579 gds -6.154 -3.149 4.6800 phot 4.4810 4.7760 -7.939 -8.049 -7.921 0.177 -0.055 0.326 0.046 0.029 0.074 8.169 8.067 8.272 0.148 0.084 0.244
24615 gds -0.894 -0.794 3.8300 phot 1.2600 4.0490 -8.618 -8.840 -8.373 -0.308 -0.505 -0.129 0.270 0.159 0.493 8.319 8.234 8.401 0.156 0.064 0.297
25037 gds -0.204 -1.444 3.1000 phot 3.0100 3.3110 -8.336 -8.496 -8.189 1.295 1.200 1.367 0.154 0.107 0.223 9.630 9.558 9.709 0.289 0.214 0.367
25221 gds -3.009 0.132 2.7500 phot 2.0700 2.7890 -8.384 -8.664 -8.198 1.523 1.372 1.648 0.182 0.110 0.351 9.938 9.844 10.056 0.942 0.803 1.108
25370 gds -0.694 -1.697 2.9300 phot 1.9640 3.1160 -8.970 -9.112 -8.778 0.108 0.015 0.241 0.736 0.435 1.057 9.084 9.012 9.140 0.215 0.126 0.326
26164 gds -2.903 -4.508 3.9000 phot 0.6270 4.0730 -8.761 -8.987 -8.524 -0.351 -0.487 -0.187 0.391 0.208 0.636 8.422 8.305 8.522 0.196 0.094 0.321
26406 gds -3.864 -1.179 0.9100 phot 0.7590 4.7730 -9.445 -9.558 -9.204 -2.199 -2.261 -2.104 2.456 1.323 3.053 7.258 7.107 7.332 0.072 0.022 0.161
28227 gds -6.248 -3.129 4.7100 phot 4.6200 4.7770 -7.961 -7.969 -7.951 0.393 0.232 0.544 0.009 0.006 0.013 8.387 8.309 8.471 0.255 0.170 0.362
28366 gds -6.345 -3.202 4.3600 phot 4.0630 4.5620 -7.956 -8.095 -7.924 -0.216 -0.465 -0.083 0.051 0.029 0.084 7.788 7.656 7.882 0.108 0.042 0.201
28427 gds -0.570 -0.464 2.9900 phot 1.8080 3.0720 -14.998 -23.176 -11.224 -6.719 -14.406 -2.554 0.217 0.193 0.258 8.600 8.572 8.628 0.051 0.015 0.128
32463 gds -6.262 -3.092 4.3600 phot 4.1630 4.5330 -7.967 -7.980 -7.949 -0.545 -0.782 -0.289 0.007 0.004 0.014 7.480 7.344 7.661 0.071 0.042 0.121
33360 gds -6.261 -3.081 4.9200 phot 4.8990 4.9630 -7.977 -7.989 -7.954 -0.411 -0.664 -0.039 0.005 0.003 0.012 7.679 7.541 7.927 0.178 0.119 0.266
33418 gds -0.141 -1.005 2.8800 phot 2.2210 3.0600 -8.532 -8.720 -8.328 -0.232 -0.358 -0.085 0.245 0.147 0.377 8.315 8.246 8.384 0.126 0.060 0.217
33658 gds -3.206 -4.614 3.2200 phot 3.1340 3.7540 -8.703 -8.899 -8.488 1.046 0.925 1.163 0.395 0.216 0.618 9.752 9.668 9.842 0.395 0.283 0.525
34332 gds -3.472 -4.725 3.3000 phot 3.2230 3.6980 -8.970 -9.075 -8.723 0.871 0.779 1.025 0.760 0.398 0.952 9.837 9.757 9.878 0.383 0.280 0.521
34756 gds -2.938 -0.493 1.7000 phot 1.4870 4.5810 -9.312 -9.460 -9.109 -1.732 -1.873 -1.631 1.595 0.937 1.936 7.583 7.478 7.659 0.156 0.060 0.290
35056 gds -2.450 -4.381 3.7500 phot 3.3850 3.8560 -8.407 -8.572 -8.219 0.531 0.406 0.663 0.171 0.114 0.255 8.949 8.884 9.001 0.184 0.127 0.303
36578 gds -6.289 -3.252 4.7000 phot 4.3380 4.7680 -7.937 -8.088 -7.921 -0.219 -0.485 -0.059 0.043 0.028 0.082 7.766 7.660 7.903 0.116 0.056 0.199
37575 gds -0.117 -0.796 1.9600 phot 0.7930 2.9750 -8.964 -9.281 -8.616 -1.357 -1.542 -1.113 0.660 0.311 1.470 7.600 7.490 7.742 0.115 0.037 0.245
37647 gds -5.999 -3.213 4.1400 phot 4.0190 4.6120 -7.932 -8.022 -7.919 0.010 -0.221 0.160 0.042 0.028 0.068 7.984 7.877 8.085 0.130 0.066 0.216
37784 gds -2.871 -4.513 3.3400 phot 3.0660 3.7600 -12.584 -26.478 -9.777 -4.129 -18.793 -0.764 0.415 0.298 0.570 8.890 8.815 8.952 0.134 0.044 0.281
38154 gds -6.086 -3.302 4.5900 phot 4.4060 4.7230 -7.930 -7.986 -7.918 0.763 0.573 0.910 0.041 0.028 0.060 8.739 8.670 8.799 0.346 0.232 0.450
38156 gds -6.369 -3.143 5.2300 phot 5.0250 5.2540 -8.415 -8.602 -8.198 0.355 0.231 0.512 0.177 0.104 0.285 8.770 8.678 8.881 0.112 0.051 0.201
38268 gds -0.228 -1.222 3.0400 phot 2.9240 3.1380 -8.482 -8.644 -8.307 0.281 0.175 0.384 0.217 0.135 0.305 8.779 8.699 8.839 0.221 0.141 0.329
